#       Timestep            Time        CPU_Time
               0               0       0.0176492
               1          0.0001        0.046494
               2          0.0002        0.254548
               3          0.0003        0.261556
               4          0.0004        0.279452
               5          0.0005        0.283391
               6          0.0006        0.287364
               7          0.0007        0.291899
               8          0.0008        0.295841
               9          0.0009        0.299645
              10           0.001        0.303475
              11          0.0011        0.351542
              12          0.0012        0.355391
              13          0.0013        0.359274
              14          0.0014        0.363149
              15          0.0015        0.367018
              16          0.0016        0.370849
              17          0.0017        0.374541
              18          0.0018        0.378232
              19          0.0019        0.381916
              20           0.002        0.385598
              21          0.0021        0.406906
              22          0.0022        0.410786
              23          0.0023        0.414639
              24          0.0024        0.418495
              25          0.0025        0.422389
              26          0.0026         0.42624
              27          0.0027        0.430029
              28          0.0028        0.433708
              29          0.0029        0.437495
              30           0.003        0.441279
              31          0.0031        0.462475
              32          0.0032        0.466376
              33          0.0033        0.470198
              34          0.0034        0.474063
              35          0.0035        0.477945
              36          0.0036        0.481784
              37          0.0037        0.485634
              38          0.0038        0.489387
              39          0.0039        0.493036
              40           0.004        0.496694
              41          0.0041        0.517613
              42          0.0042        0.521484
              43          0.0043        0.525313
              44          0.0044        0.529162
              45          0.0045         0.53301
              46          0.0046        0.536836
              47          0.0047         0.54062
              48          0.0048        0.544413
              49          0.0049        0.548253
              50           0.005        0.551967
